POIID,POIName,Telno,Address,X,Y,Yunlin_Town,Source,FaxNo,OP_DAY,OP_TIME,SpecialStore_Kind,廁所,ANKER,ATM,BEAMS DESIGN,BEAMS DESIGN專區,CITY系列熱燕麥飲,EC自助取件,K·Seren,Mister Donut甜甜圈,OPEN Bar,OPEN iECO循環杯,OPEN! PLAZA專櫃,OPEN! STORE,Watts均一價59元,gogoro,ibon,ibon WiFi,不可思議咖啡,停車場,冷凍交貨便,千禧血壓站,博客來,原賞熱壓土司,哈燒,嚴選素材冷凍鮮物,天素地蔬,天素地蔬複合店,寵物生活專區,座位區,思樂冰,所長茶葉蛋,拋棄式隱形眼鏡,特選咖啡,現烤地瓜,現萃茶,現蒸地瓜,瓜地馬拉豆,甜點專櫃,生鮮蔬菜,精品咖啡,精品威士忌咖啡,精品秤重散糖,糖果屋,美妝,自助微波,茶BAR(多元複合),蒸玉米,蒸食機,藥商執照(快篩試劑),行動電源租賃,超值酒藏,酷聖石霜淇淋,雪淋霜霜淇淋,霹靂DVD,饗喫鍋,高效智慧回收機,黃金滷蛋,Store_URL
255480,伊級,(05)5893565,雲林縣林內鄉大同路20號,120.605209,23.74318,林內鄉,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5893515,,24H,,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,
920489,好家庭,(05)5576530,雲林縣斗六市榴中里工業路69號,120.58507,23.719708,斗六市,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5576960,,24H,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,
131858,宇宸,(05)6320634,雲林縣虎尾鎮清雲路770號,120.426132,23.739407,虎尾鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)6321824,,24H,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,
968665,安榮,(05)6553792,雲林縣崙背鄉豐榮村1鄰豐榮32之3號,120.3114,23.792588,崙背鄉,7-ELEVEN E-Map / EMapSDK SearchStore,(05)6553796,,24H,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,
185475,成苑,(05)5339622,雲林縣斗六市莊敬路345號,120.546382,23.70312,斗六市,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5334979,,24H,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,
267748,西螺大同,(05)5879262,雲林縣西螺鎮大同路159號,120.465147,23.800108,西螺鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5877090,,24H,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,
881386,快來,(05)6917456,雲林縣麥寮鄉橋頭村橋頭路234號,120.273958,23.796933,麥寮鄉,7-ELEVEN E-Map / EMapSDK SearchStore,(05)6914476,,24H,,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,
273248,李斯特,(05)6320131,雲林縣虎尾鎮興南里竹圍60號,120.460627,23.697109,虎尾鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)6320223,,06:00 ~ 23:59,,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,
950860,育北,(05)5331163,雲林縣斗六市明德北路一段110號,120.551109,23.717476,斗六市,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5330943,,24H,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,
208554,豆油,(05)5870525,雲林縣西螺鎮振興里振興55-3號,120.469214,23.792103,西螺鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5875051,,24H,,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,
