編號,行政區,商家名稱,入選品名,商家地址,X,Y,相關網站,營業時間,經緯度座標,推薦來源,備註
91,虎尾鎮,蔗香甜,蔗香手工蛋捲,632雲林縣虎尾鎮德興路1-2號,120.435012,23.708892,https://www.facebook.com/sugarcanesweet/,09:00–18:00,"23.708892, 120.435012",雲林100碗,
92,虎尾鎮,"請進,來吃甜",車輪餅(芋泥純肉鬆),632雲林縣虎尾鎮新興路21號,120.434255,23.708511,https://www.facebook.com/profile.php?id=100063990352520,14:00–18:30 (週一二休),"23.708511, 120.434255",雲林100碗,
93,虎尾鎮,饅享受,療癒造型饅頭,632雲林縣虎尾鎮文科路926號,120.441850,23.716155,https://www.facebook.com/profile.php?id=100063853123845,10:00–18:00 (週日休),"23.716155, 120.441850",雲林100碗,
94,崙背鄉,千巧谷,焦糖布蕾堡,637雲林縣崙背鄉建國路28號,120.354611,23.761750,https://www.valley-bakery.com.tw/,週一至週日 08:00–22:00,"23.761750, 120.354611",雲林100碗,
95,崙背鄉,李排骨酥,米糕,637雲林縣崙背鄉建國路16號,120.354721,23.761852,https://www.facebook.com/profile.php?id=100063990152520,06:00–13:30 (週四休),"23.761852, 120.354721",雲林100碗,
96,崙背鄉,李排骨酥,排骨酥湯,637雲林縣崙背鄉建國路16號,120.354721,23.761852,https://www.facebook.com/profile.php?id=100063990152520,06:00–13:30 (週四休),"23.761852, 120.354721",雲林100碗,
97,崙背鄉,李排骨酥,滷肉飯,637雲林縣崙背鄉建國路16號,120.354721,23.761852,https://www.facebook.com/profile.php?id=100063990152520,06:00–13:30 (週四休),"23.761852, 120.354721",雲林100碗,
98,崙背鄉,臺一養蜂園蜜茶站,蜂蜜蛋糕,637雲林縣崙背鄉建國路18號,120.354680,23.761820,https://www.taiyi-bee.com.tw/,週一至週日 08:00–21:00,"23.761820, 120.354680",雲林100碗,
99,莿桐鄉,圓仔冰,圓仔冰,647雲林縣莿桐鄉中正路138號,120.461123,23.760155,無,08:00–19:00 (週二休),"23.760155, 120.461123",雲林100碗,
100,莿桐鄉,閣再來,筒仔米糕,647雲林縣莿桐鄉中正路192號,120.462310,23.759244,無,07:00–19:00,"23.759244, 120.462310",雲林100碗,
101,西螺鎮,西螺黃記九層粿,九層粿,648雲林縣西螺鎮建興路286號,120.461942,23.799781,https://www.facebook.com/HuangJiJiuCengGuo/,週二至週日 05:00–11:00 (週一休),"23.799781, 120.461942",漫遊雲林網站推薦,
